world-gdp-gross-domestic-product (1)
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,1384.8573859308,456.8264,
1961-12-31,1449.2206246635,471.6867,3.7901
1962-12-31,1550.815493823,495.9674,5.3149
1963-12-31,1671.4467484304,523.4019,5.1845
1964-12-31,1830.4916753856,561.4244,6.5578
1965-12-31,1994.1034847033,599.1521,5.5491
1966-12-31,2164.1180968714,636.79,5.7126
1967-12-31,2302.5767938801,663.8785,4.1528
1968-12-31,2484.6744550634,701.8529,5.9419
1969-12-31,2740.4992438382,758.1807,5.8156
1970-12-31,2997.2704955001,812.2222,3.9604
1971-12-31,3310.4754919266,878.5926,4.2767
1972-12-31,3816.8227388989,993.0313,5.616
1973-12-31,4657.4451878696,1188.1185,6.4069
1974-12-31,5366.8176363812,1343.085,1.797
1975-12-31,5977.9727802152,1468.7814,0.6355
1976-12-31,6498.7460153796,1568.5739,5.3043
1977-12-31,7349.7309971683,1743.3666,4.1
1978-12-31,8690.4969449822,2025.8533,4.1367
1979-12-31,10053.77092985,2302.8778,4.1761
1980-12-31,11337.132638434,2552.0585,1.8686
1981-12-31,11728.414403392,2594.2554,1.952
1982-12-31,11610.171959212,2522.4691,0.3034
1983-12-31,11840.481044981,2527.3843,2.6246
1984-12-31,12311.633033276,2582.874,4.7097
1985-12-31,12897.178603739,2659.1699,3.7207
1986-12-31,15252.515336774,3090.0517,3.3953
1987-12-31,17372.959408472,3457.7944,3.7477
1988-12-31,19394.022898347,3792.7932,4.6334
1989-12-31,20266.663642625,3895.5006,3.7064
1990-12-31,22861.712031488,4318.9125,2.7991
1991-12-31,23834.453957465,4428.1078,1.3698
1992-12-31,25484.024569814,4658.7309,2.0404
1993-12-31,25905.901713517,4662.1663,1.8483
1994-12-31,27899.567789057,4944.938,3.3348
1995-12-31,31051.499245623,5422.198,3.0814
1996-12-31,31745.724938569,5462.4945,3.5479
1997-12-31,31629.694547538,5364.5513,3.8944
1998-12-31,31552.85370697,5276.6382,2.8202
1999-12-31,32752.012211616,5402.5819,3.553
2000-12-31,33845.58318836,5508.433,4.5155
2001-12-31,33631.012546213,5401.4026,2.0098
2002-12-31,34925.116624464,5536.5149,2.3048
2003-12-31,39161.645364741,6129.0986,3.1113
2004-12-31,44133.615904575,6820.2955,4.4716
2005-12-31,47793.587715631,7293.7239,4.0049
2006-12-31,51791.096256797,7805.6119,4.4217
2007-12-31,58361.09678402,8687.4298,4.3815
2008-12-31,64135.192896903,9429.2748,2.0703
2009-12-31,60817.919586141,8832.3041,-1.3416
2010-12-31,66619.781549532,9558.0217,4.5403
2011-12-31,73881.73960976,10473.7449,3.3201
2012-12-31,75525.948524603,10575.6601,2.7102
2013-12-31,77635.152493358,10738.3174,2.8092
2014-12-31,79756.517210011,10898.7208,3.0735
2015-12-31,75215.062596595,10156.9535,3.0829
2016-12-31,76486.4548704,10208.8699,2.8086
2017-12-31,81442.048665488,10746.8563,3.3899
2018-12-31,86502.223934428,11290.1,3.288
2019-12-31,87728.102156403,11330.4537,2.5946
2020-12-31,85215.150558552,10895.7352,-3.0722
2021-12-31,96882.397612409,12282.0001,6.0238
2022-12-31,100562.01113403,12647.4808,3.0803
2010-12-31,66619.781549532,9558.0217,4.5403
2011-12-31,73881.73960976,10473.7449,3.3201
2012-12-31,75525.948524603,10575.6601,2.7102
2013-12-31,77635.152493358,10738.3174,2.8092
2014-12-31,79756.517210011,10898.7208,3.0735
2015-12-31,75215.062596595,10156.9535,3.0829
2016-12-31,76486.4548704,10208.8699,2.8086
2017-12-31,81442.048665488,10746.8563,3.3899
2018-12-31,86502.223934428,11290.1,3.288
2019-12-31,87728.102156403,11330.4537,2.5946
2020-12-31,85215.150558552,10895.7352,-3.0722
2021-12-31,96882.397612409,12282.0001,6.0238
2022-12-31,100562.01113403,12647.4808,3.0803
2022-12-31,100562.01113403,12647.4808,3.0803
